n, t, workers, frac, accesses, time
20, 16000, 4, 0.0125, 1, 6.498347545973957
20, 16000, 8, 0.0125, 1, 3.4593977415934205
20, 16000, 15, 0.0125, 1, 2.0897845178842545
20, 16000, 1, 0.0125, 5, 24.999505282379687
20, 16000, 2, 0.0125, 5, 12.699115697294474
20, 16000, 4, 0.0125, 5, 6.417846770957112
20, 16000, 8, 0.0125, 5, 3.381116804666817
20, 16000, 15, 0.0125, 5, 2.0639384733512998
20, 16000, 1, 0.0125, 10, 25.009177667088807
20, 16000, 2, 0.0125, 10, 12.701294395141304
20, 16000, 4, 0.0125, 10, 6.437731240876019
20, 16000, 8, 0.0125, 10, 3.438532776199281
20, 16000, 15, 0.0125, 10, 2.0495199812576175
20, 32000, 1, 0.0125, 1, 49.6448884755373
20, 32000, 2, 0.0125, 1, 25.387706643901765
20, 32000, 4, 0.0125, 1, 12.78369019087404
20, 32000, 8, 0.0125, 1, 6.716955474577844
20, 32000, 15, 0.0125, 1, 3.96220042463392
20, 32000, 1, 0.0125, 5, 49.62710221298039
20, 32000, 2, 0.0125, 5, 25.14363783132285
20, 32000, 4, 0.0125, 5, 12.748373138718307
20, 32000, 8, 0.0125, 5, 6.69916111882776
20, 32000, 15, 0.0125, 5, 3.9467687075957656
20, 32000, 1, 0.0125, 10, 49.69273217394948
20, 32000, 2, 0.0125, 10, 25.10467296745628
20, 32000, 4, 0.0125, 10, 12.684466579928994
20, 32000, 8, 0.0125, 10, 6.692694805562496
20, 32000, 15, 0.0125, 10, 3.926416313275695
40, 500, 1, 0.0125, 1, 8.119230560958385
40, 500, 2, 0.0125, 1, 4.334041215479374
40, 500, 4, 0.0125, 1, 2.525937918573618
40, 500, 8, 0.0125, 1, 2.440335257910192
40, 500, 15, 0.0125, 1, 2.7412947565317154
40, 500, 1, 0.0125, 5, 8.51966467499733
40, 500, 2, 0.0125, 5, 4.743757028132677
40, 500, 4, 0.0125, 5, 3.1372788473963737
40, 500, 8, 0.0125, 5, 3.255530188791454
40, 500, 15, 0.0125, 5, 4.376044522039592
40, 500, 1, 0.0125, 10, 8.885604829527438
40, 500, 2, 0.0125, 10, 5.200720253400505
40, 500, 4, 0.0125, 10, 3.8995143873617053
40, 500, 8, 0.0125, 10, 4.452177886851132
40, 500, 15, 0.0125, 10, 4.440619082190096
40, 1000, 1, 0.0125, 1, 14.380736032500863
